damage,killed,reward
200,True,11977.5
0.0,False,-135.0
154,False,1472.5
197,False,1880.0
201,True,11965.0
201,True,11920.0
200,True,11910.0
0.0,False,-135.0
199,True,11945.0
172,False,1630.0
78,False,645.0
200,True,11932.5
200,True,11887.5
200,True,11932.5
200,True,11955.0
0.0,False,-135.0
0.0,False,-135.0
200,True,12000.0
200,True,11955.0
200,True,12000.0
200,True,11955.0
200,True,11910.0
0.0,False,-135.0
200,True,11955.0
201,True,11965.0
200,True,11955.0
201,True,12010.0
69,False,555.0
200,True,11932.5
201,True,11987.5
0.0,False,-90.0
0.0,False,-90.0
69,False,622.5
200,True,11977.5
0.0,False,-135.0
0.0,False,-112.5
138,False,1290.0
0.0,False,-135.0
199,True,11990.0
201,True,12010.0
200,True,11955.0
200,True,11910.0
69,False,577.5
0.0,False,-135.0
0.0,False,-90.0
201,True,11942.5
0.0,False,-45.0
200,True,11977.5
151,False,1420.0
0.0,False,0.0
117,False,1125.0
0.0,False,-135.0
69,False,645.0
201,True,11987.5
42,False,285.0
158,False,1512.5
200,True,12000.0
200,True,11977.5
115,False,1082.5
201,True,11920.0
200,True,11932.5
0.0,False,-112.5
9,False,7.5
188,False,1790.0
0.0,False,-135.0
200,True,11955.0
158,False,1535.0
0.0,False,-65.0
200,True,11977.5
200,True,11910.0
172,False,1675.0
201,True,11942.5
200,True,12000.0
142,False,1330.0
200,True,11910.0
199,True,11922.5
0.0,False,-45.0
0.0,False,-87.5
200,True,11932.5
33,False,195.0
200,True,11977.5
23,False,162.5
0.0,False,-135.0
200,True,11977.5
0.0,False,-135.0
201,True,12010.0
69,False,622.5
0.0,False,-90.0
138,False,1245.0
200,True,11955.0
0.0,False,-135.0
200,True,11977.5
0.0,False,-135.0
0.0,False,-112.5
117,False,1080.0
201,True,11965.0
101,False,897.5
200,True,11910.0
200,True,11932.5
69,False,642.5
