damage,killed,reward
0.0,False,-200
0.0,False,-200
0.0,False,-275
54,False,-272
122,False,-1
0.0,False,-200
0.0,False,-245
200,False,358
0.0,False,-200
0.0,False,-200
89,False,-288
103,False,-219
0.0,False,-468
0.0,False,-290
0.0,False,-409
200,False,353
0.0,False,-200
185,False,125
0.0,False,-200
0.0,False,-200
200,False,353
0.0,False,-290
0.0,False,-290
0.0,False,-200
0.0,False,-200
0.0,False,-200
124,False,-183
201,False,186
69,False,-237
0.0,False,-265
0.0,False,-245
0.0,False,-245
0.0,False,-408
200,False,409
186,False,17
0.0,False,-245
0.0,False,-465
162,False,-21
69,False,-62
0.0,False,-245
0.0,False,-335
201,False,306
0.0,False,-413
202,False,347
