damage,killed,reward
0.0,False,-255
0.0,False,-200
110,False,-160
0.0,False,-290
0.0,False,-418
0.0,False,-413
0.0,False,-200
0.0,False,-335
126,False,-83
69,False,-242
185,False,-55
202,False,244
0.0,False,-335
201,False,320
0.0,False,-200
0.0,False,-255
0.0,False,-245
69,False,-242
69,False,-197
0.0,False,-290
200,False,254
0.0,False,-245
130,False,-75
0.0,False,-230
69,False,-107
0.0,False,-200
0.0,False,-200
41,False,-298
0.0,False,-200
69,False,-62
0.0,False,-230
201,False,347
201,False,412
0.0,False,-200
0.0,False,-335
15,False,-423
0.0,False,-380
0.0,False,-290
69,False,-62
0.0,False,-415
0.0,False,-200
0.0,False,-200
0.0,False,-380
201,False,186
0.0,False,-335
201,False,370
0.0,False,-405
0.0,False,-230
200,False,175
0.0,False,-200
201,False,203
69,False,-197
0.0,False,-200
0.0,False,-200
0.0,False,-245
0.0,False,-290
