damage,killed,reward
40,False,-120
26,False,-148
10,False,-180
46,False,-108
18,False,-164
0.0,False,-200
10,False,-180
0.0,False,-200
0.0,False,-200
57,False,-106
10,False,-180
4,False,-192
58,False,-84
0.0,False,-230
24,False,-152
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
100,False,113
0.0,False,-200
50,False,-100
28,False,-144
99,False,117
0.0,False,-200
0.0,False,-200
20,False,-160
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
101,False,125
0.0,False,-200
0.0,False,-200
0.0,False,-200
16,False,-168
0.0,False,-200
0.0,False,-200
99,False,104
43,False,-114
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-270
101,False,147
50,False,-100
0.0,False,-220
64,False,-72
100,False,125
10,False,-180
100,False,144
10,False,-180
20,False,-160
98,False,-4
0.0,False,-200
0.0,False,-200
10,False,-180
61,False,-78
0.0,False,-200
0.0,False,-200
36,False,-128
89,False,-22
47,False,-106
0.0,False,-200
10,False,-180
0.0,False,-280
66,False,-68
61,False,-78
12,False,-176
80,False,-40
0.0,False,-200
90,False,-20
45,False,-110
0.0,False,-200
0.0,False,-200
0.0,False,-200
100,False,131
0.0,False,-200
0.0,False,-220
80,False,-40
66,False,-68
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
36,False,-128
0.0,False,-200
48,False,-104
0.0,False,-200
0.0,False,-200
0.0,False,-200
67,False,-66
0.0,False,-200
0.0,False,-200
73,False,-54
0.0,False,-200
