damage,killed,reward
0.0,False,-200
0.0,False,-200
0.0,False,-200
20,False,-160
0.0,False,-200
30,False,-140
0.0,False,-200
0.0,False,-200
4,False,-192
0.0,False,-200
82,False,-36
8,False,-184
0.0,False,-200
0.0,False,-200
12,False,-176
0.0,False,-200
24,False,-152
49,False,-102
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
6,False,-188
19,False,-162
40,False,-120
16,False,-168
55,False,-90
14,False,-172
6,False,-188
0.0,False,-200
10,False,-180
0.0,False,-200
6,False,-188
10,False,-180
14,False,-172
0.0,False,-200
8,False,-184
0.0,False,-200
0.0,False,-200
26,False,-148
0.0,False,-200
57,False,-86
0.0,False,-200
